RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Los Angeles County,CA,6,37,214322.606,233400.263,256940.243,302702.949,360483.034,455295.728,543670.676,573738.734,529414.339,406308.979,386239.856,374265.398,353745.064,383761.323,450157.816,488139.126,478134.325,512030.820,565649.076,646242.148,657067.692,726933.252,824074.878,850711.627,896139.058
Cook County,IL,17,31,151561.914,165087.201,180405.863,196681.482,213432.816,235826.091,262218.366,271313.137,265847.336,232008.991,204546.667,186812.944,169122.780,161670.274,183605.352,196299.757,207526.754,218599.466,231667.546,238826.434,242733.327,261649.324,287590.669,298925.024,314864.873
Harris County,TX,48,201,111224.496,113724.031,114093.147,119037.773,121726.715,132142.695,133671.485,138530.863,140925.261,134018.926,134725.613,130179.138,125002.853,127290.523,141620.201,158447.716,172674.684,181233.371,188470.029,198638.402,206380.090,221559.209,257827.850,285402.967,284094.381
Maricopa County,AZ,4,13,146584.012,155001.388,162990.906,170941.241,180682.069,208922.924,299221.509,300939.022,272546.749,197017.386,168372.460,149636.920,143025.288,175660.609,209351.810,217551.885,238713.341,252404.878,269466.122,289619.607,308199.369,355435.241,456968.824,469081.223,475811.195
San Diego County,CA,6,73,225588.733,259409.671,294910.566,349399.435,410072.758,522410.696,558829.610,543147.645,487487.874,390412.712,379094.988,372074.713,351963.737,382907.154,448383.357,479193.555,520961.030,553419.675,596537.072,612076.619,624075.393,703582.757,832539.833,881204.573,956659.277
Orange County,CA,6,59,271875.884,306897.840,342486.962,400376.229,478936.492,602474.794,688308.149,700882.210,622999.727,511217.408,507937.244,492336.155,467779.901,503665.164,588429.857,622143.483,613671.434,650997.964,750194.499,761259.854,772510.163,847362.085,985981.042,1062604.573,1157565.298
Kings County,NY,36,47,215852.590,240348.328,270091.541,283491.247,361788.634,423051.304,500893.188,521510.693,519817.110,498893.738,462145.308,472815.647,477017.737,498487.174,538016.567,590082.774,663809.815,724059.976,776759.835,823709.099,860777.803,867560.777,918297.407,937748.059,939256.105
Miami-Dade County,FL,12,86,127632.086,135847.032,150721.800,173010.946,202607.334,247076.587,314108.574,358821.963,336864.844,241312.123,187414.787,173489.064,168148.664,178332.444,211210.117,237582.187,265947.972,290190.331,314148.804,333912.051,348484.894,380836.361,446055.412,521256.851,568801.139
Dallas County,TX,48,113,96462.609,100214.622,101526.276,106298.810,108127.584,116810.428,117998.998,120621.015,121588.167,111705.538,113256.091,108183.594,103128.790,111263.039,123582.066,134963.754,153211.239,174098.081,194050.204,210671.172,219689.124,239941.866,281634.829,317711.347,319228.788
Riverside County,CA,6,65,151947.909,167533.506,187341.786,215489.957,257401.987,334366.372,398742.208,419250.486,359404.788,235138.518,205782.562,206771.101,197779.841,215789.223,274952.446,300270.721,324400.078,330944.911,370084.388,389027.715,401225.927,447868.865,549647.567,580098.990,600195.685
Queens County,NY,36,81,262989.102,295836.744,328868.734,346112.886,374131.512,430027.246,506287.205,518678.448,528026.554,481669.276,445134.642,449072.247,443447.839,459123.456,493876.269,531099.696,580618.692,631199.981,670935.278,707460.273,745274.005,756767.160,806550.755,824190.603,801057.833
King County,WA,53,33,258771.277,278015.880,292066.926,303952.899,322434.483,358445.931,421916.256,476136.877,487951.076,427695.541,391818.201,364725.259,336340.221,347183.489,389108.831,419847.863,479673.291,537384.592,619839.807,647670.473,650954.650,734060.855,857192.207,877952.473,889018.066
Clark County,NV,32,3,162357.317,169422.862,181259.880,192515.011,218142.880,305447.490,343829.282,347946.213,302068.138,207559.840,155805.479,145798.610,131539.739,146124.838,189183.677,205242.890,221117.298,232847.370,265977.602,299110.535,306477.661,327659.780,405105.258,427905.374,430679.318
San Bernardino County,CA,6,71,124551.780,135344.881,150053.136,172742.961,208755.413,278511.100,341919.340,369638.465,331428.669,210844.063,176975.203,177785.157,168801.986,180554.438,228265.918,255297.508,259073.522,273320.703,333857.413,350911.714,362641.313,407262.165,490561.307,518305.406,538881.513
Tarrant County,TX,48,439,112661.643,114727.025,114585.887,119384.192,122016.658,130751.196,132948.634,137572.418,138313.112,129965.468,131065.052,127433.029,123385.124,128161.742,137830.843,147957.197,164186.100,182209.101,201747.657,215421.547,225495.594,246327.037,296586.496,329864.072,326157.034
Bexar County,TX,48,29,102324.800,100515.671,99296.015,102847.813,105619.632,115765.048,119764.994,129025.804,135357.925,131081.256,127188.384,125197.277,121234.423,125079.268,132899.991,142980.612,155820.227,166595.151,177536.755,187475.352,195905.404,213121.935,249130.579,273275.728,265132.195
Santa Clara County,CA,6,85,393226.748,498830.334,509824.761,530450.642,543217.498,636240.282,730099.688,737848.115,712650.803,581026.697,556995.175,544459.649,521054.596,652328.314,754951.414,849482.849,968495.766,928720.957,1029673.885,1288126.189,1203618.170,1324602.327,1542581.251,1540710.149,1637741.292
Broward County,FL,12,11,124706.198,134782.392,161464.854,179845.172,206830.060,247092.733,311615.410,342543.440,292225.322,216776.704,189317.023,180182.786,173613.927,188103.278,222725.549,247834.184,267190.173,287947.670,315683.044,333958.917,344113.687,372583.816,439214.782,506394.722,539690.520
Wayne County,MI,26,163,104332.078,115981.996,125496.526,130845.225,137912.215,142291.782,146735.736,145375.663,133491.134,86588.638,58487.151,49626.259,44535.610,48351.800,61527.343,67639.657,75799.537,83080.330,93836.413,105502.097,113995.808,128593.253,143317.008,149219.940,157538.364
Alameda County,CA,6,1,278193.977,348205.018,390040.573,422567.383,455122.921,548738.432,633048.633,634112.451,582845.700,483776.855,457962.558,445692.470,409620.821,446187.652,550800.154,618714.704,713903.349,752782.161,833332.023,888004.744,872710.553,960191.039,1131774.520,1110493.507,1144350.667
New York County,NY,36,61,412486.956,493179.873,646669.580,749865.242,735584.522,703717.140,877900.531,932922.800,975498.746,942456.404,892831.578,953473.439,992802.533,1131303.260,1300514.564,1431960.410,1623426.332,1791773.190,1800994.612,1876271.218,1915215.441,1657005.314,1875713.932,1892482.938,1655981.060
Middlesex County,MA,25,17,264525.507,303017.357,346988.835,383192.110,410496.079,441282.949,456666.757,434768.550,418570.528,397880.107,394673.647,396097.978,382031.424,399014.113,431686.707,454038.688,485678.540,514079.796,549362.767,574587.237,583275.216,638625.786,698219.232,735437.048,801473.850
Philadelphia County,PA,42,101,59349.629,62866.409,66213.631,71306.479,79599.188,92898.740,112339.165,122566.396,125545.695,119681.631,118307.697,114500.094,108582.530,105237.138,110442.571,112463.848,121366.185,134613.158,149807.874,162940.795,178197.840,197672.425,203220.625,213163.843,210579.455
Sacramento County,CA,6,67,146896.023,165542.373,195779.296,230135.559,269863.019,336654.440,393272.600,366284.359,309540.289,229505.776,206363.799,195606.302,175369.073,197746.052,258084.889,276860.313,303893.606,330922.994,362354.581,379329.375,396471.283,441154.211,523509.670,522440.486,527522.584
Suffolk County,NY,36,103,191140.731,219773.169,255422.267,304158.094,355145.526,405068.045,456685.570,468326.618,450696.281,415624.786,394086.450,389029.555,374687.426,364284.643,376290.465,387269.414,402570.912,410550.962,423581.726,449422.138,479079.939,510538.634,577811.899,600776.469,637275.290
Palm Beach County,FL,12,99,143337.728,152963.158,169561.031,192224.147,222812.703,270149.192,342577.715,355285.120,295253.889,238043.179,210570.157,197730.920,184581.468,194920.668,231319.978,258043.832,282862.068,300615.035,318024.011,333396.780,344200.030,372249.686,462459.503,539391.528,564768.765
Bronx County,NY,36,5,218599.054,237277.834,255471.580,282029.167,293508.584,338067.433,392990.062,437201.030,448330.092,408881.878,375148.975,356085.646,342826.751,359143.487,375288.515,384884.348,420613.548,445431.183,475523.005,508241.426,547449.756,564750.931,608324.462,612915.922,627026.798
Hillsborough County,FL,12,57,107250.213,115481.760,124915.978,135920.391,150642.875,174078.596,216622.584,243689.457,220731.096,173793.549,147366.395,137047.403,125224.602,136451.867,159470.590,171508.793,187404.359,204039.412,220868.383,234332.141,244388.521,271002.003,340504.846,391536.575,397908.074
Orange County,FL,12,95,129924.704,139930.292,150986.682,162673.631,177475.106,204300.772,268029.120,300373.582,269174.856,199810.783,164331.127,147870.755,138825.513,150599.303,179772.996,195377.385,211412.131,229218.764,248129.175,267148.396,279282.940,302514.752,361514.987,414898.638,430765.219
Nassau County,NY,36,59,249400.077,279447.006,311975.357,358220.398,410021.841,461539.197,517015.253,523747.412,502594.063,469112.675,441864.893,437345.952,420050.401,425370.141,446750.415,465984.877,489971.025,511231.603,546172.464,570561.050,586523.128,620420.044,670611.986,700651.533,736979.863
Franklin County,OH,39,49,116806.825,121836.348,127121.474,132389.798,137678.716,142604.215,146422.949,146911.708,143857.149,140006.962,135446.270,130763.770,122694.048,122912.452,132438.977,138419.112,149941.540,163015.677,177462.812,191004.520,206291.942,232689.398,259323.457,285957.162,302475.155
Oakland County,MI,26,125,186539.770,199301.273,209196.548,216691.069,222671.169,230439.119,233446.855,224168.637,203464.859,172043.475,149762.942,143874.760,144079.573,159551.706,186770.370,201762.411,213087.407,225956.737,243235.991,254761.811,263954.544,286587.182,317172.103,334524.768,351406.217
Hennepin County,MN,27,53,154118.965,174572.164,198669.599,217517.571,236025.394,255139.105,269000.504,269490.829,259418.674,233025.140,226293.622,214077.186,193015.545,212291.965,234423.675,242937.563,257071.703,272344.810,291709.192,309497.863,321350.446,343911.800,372587.597,384988.742,390701.132
Travis County,TX,48,453,187026.565,194041.632,196657.931,193990.543,194304.897,201626.154,206977.825,215112.426,225169.564,218545.788,214018.165,208276.479,206514.916,223532.756,252126.020,280847.622,306781.348,324870.489,337806.153,351279.150,370393.756,426697.899,565475.476,569168.259,528437.789
Cuyahoga County,OH,39,35,108226.554,113546.856,117617.267,120791.573,126158.243,130307.112,134106.550,132388.516,124752.210,115708.652,110844.288,106043.536,97848.296,98638.448,102576.522,103093.399,110505.577,117168.689,125181.895,134408.134,140808.877,156579.876,171274.923,185500.706,197935.998
Allegheny County,PA,42,3,85566.114,89153.377,93598.955,98264.877,101295.026,106130.066,109985.648,112196.541,115824.402,112982.476,117568.055,119071.246,117925.742,118837.990,123210.691,127523.303,135335.991,142414.921,150239.090,158950.749,168743.986,189248.437,202994.291,211486.913,221893.585
Salt Lake County,UT,49,35,179573.004,187911.973,190927.146,189895.405,191870.869,192498.241,201493.183,240020.019,271972.638,247551.537,223449.373,209045.110,196712.698,219590.063,247091.909,254941.571,281350.844,300654.005,331958.757,359848.202,384068.934,441580.546,539508.413,558528.345,561163.583
Contra Costa County,CA,6,13,275617.087,316755.924,356719.289,404760.870,466240.661,572981.151,680813.053,694464.634,555591.129,401364.728,331041.120,311830.205,298110.747,345713.872,437922.519,479152.068,536683.552,569206.905,615814.301,644006.223,653375.535,726484.569,847731.470,830084.114,836851.238
Fairfax County,VA,51,59,220798.723,252266.713,290357.624,330121.488,371846.547,460998.372,548244.368,521006.571,479657.790,423318.929,425528.514,433585.048,437085.563,486259.072,521049.343,525988.088,532448.747,542190.903,558291.524,573992.763,597486.031,652330.594,689541.842,720548.821,757798.942
Wake County,NC,37,183,189330.758,195711.543,199846.117,202518.191,205726.071,211460.404,223211.208,237265.992,247574.445,237969.341,231773.018,225684.071,215044.975,219718.539,232168.047,244166.065,262850.764,279326.010,293546.099,307907.613,319665.478,345315.458,432742.462,472263.538,483010.207
Mecklenburg County,NC,37,119,156964.353,162225.313,165648.009,166830.544,168019.495,171130.594,176471.338,186157.594,194481.199,184615.516,175640.886,163316.318,152702.618,159317.107,175577.673,184759.897,200406.790,218527.637,238503.662,255646.403,268460.443,300222.483,369679.609,406934.461,421312.160
Montgomery County,MD,24,31,235910.165,257713.186,294395.294,344395.048,397045.306,467131.705,547778.814,565476.206,526956.051,445071.683,429183.429,432208.588,428363.130,435919.642,460665.883,470883.792,479544.777,485938.981,496485.231,511892.023,524097.722,566580.259,610962.569,628161.673,646255.049
Fulton County,GA,13,121,169132.429,183830.075,196926.165,204842.249,209970.117,220206.515,233048.715,242496.181,244014.040,218368.202,193383.890,181394.586,168384.368,175589.173,202870.119,222377.250,245066.773,266070.223,288809.153,309385.854,320256.517,347514.878,411626.350,450411.380,468278.545
Collin County,TX,48,85,187971.548,188465.343,187749.581,192366.705,192936.566,202169.445,205869.280,211557.240,214031.423,206753.134,205761.381,201362.159,199878.182,211724.171,233527.903,258693.995,289651.325,312427.847,329414.911,332384.918,333613.353,359198.729,452551.189,505832.449,517102.333
Pima County,AZ,4,19,124382.268,129390.305,136844.897,146293.474,157535.765,179350.794,233470.176,242435.450,229061.868,196152.531,176362.588,161275.171,140363.388,158857.351,172880.608,177856.765,184527.297,194529.531,207594.200,220798.949,237065.670,267681.283,326533.756,346836.891,354047.035
Honolulu County,HI,15,3,274855.299,288890.250,303250.037,336434.548,390047.687,474489.924,595547.245,634470.309,637604.731,605354.400,552208.561,586774.464,572658.958,590761.090,632438.038,670267.967,701711.063,747634.489,783626.472,804063.733,807496.547,855150.822,990127.532,1058805.457,1044501.525
Fresno County,CA,6,19,113518.246,114383.243,126104.573,148496.862,182425.072,231213.576,291408.670,300362.118,263813.401,193452.382,169911.927,160092.742,142061.818,158585.306,185596.531,199282.794,214396.966,228062.767,248628.412,266455.151,277885.835,307034.435,362239.351,381329.180,391791.937
Saint Louis County,MO,29,189,120217.225,129588.774,138426.480,147708.202,158409.650,168060.978,176721.960,180223.345,176060.387,168579.146,163983.070,155216.175,143213.695,143330.550,150081.100,154918.523,164490.675,172922.046,182096.114,189190.929,196297.897,215853.743,234163.012,255381.936,269117.197
Westchester County,NY,36,119,313332.297,348369.649,399188.974,453839.573,504668.266,561713.538,627599.514,643503.364,626011.708,601444.397,556636.694,550916.371,525827.497,522327.852,547412.027,576304.078,597521.086,608911.773,626993.716,638690.250,637105.628,675556.465,732135.772,776677.822,816210.980
