RegionID,State,2000,2005,2010,2015,2019,2020,2021,2022,2023,2024,2000-2024 Percent Increase
1,AL,98272.84,116807.97,126123.16,131582.01,150859.14,161813.98,179010.7,205125.41,217724.22,221758.2,37%
2,AK,136501.17,208392.49,253553.39,276313.22,297422.51,324264.18,333383.12,357819.11,369105.2,372029.88,15%
3,AZ,137426.53,196798.1,166448.18,199505.21,266127.91,284326.71,327392.72,419105.09,431860.36,436234.69,53%
4,AR,86918.85,108545.99,118542.43,123423.57,143319.11,150052.78,164904.16,188627.8,197483.85,202886.31,35%
5,CA,191693.15,409735.57,308944.9,409311.21,545874.68,558932.44,619195.9,717968.72,741470.48,775074.35,39%
6,CO,179840.25,234454.31,228874.02,276039.75,390998.69,408450.67,447369.27,527153.97,551091.4,552799.88,35%
7,CT,174500,290136.96,275602.37,254855.56,272977.87,278049.16,309781.06,344580.47,377735,417960.14,50%
8,DE,149342.91,231296.76,245607.91,232343.03,269754.51,276024.33,304605.56,340655.19,366543.15,384375.57,39%
9,DC,182052.56,345474.39,384052.59,521168.79,644929.8,659402.73,710825.71,735848.03,730859.37,718733.14,9%
10,FL,113663.18,192725.58,159132.08,181814.31,250525.97,261902.11,287173.05,352067.96,403568.25,414411.77,58%
11,GA,123834,155316.04,139583.49,148259.11,195762.7,208257.57,233402.89,284461.22,313968.37,325450.4,56%
12,HI,220357.07,399258.68,463503.07,564759.78,695795.68,703810.34,757116.47,881477.51,959962.55,959506.83,36%
13,ID,122605.76,146394.75,167257.59,179847.1,262284.71,291645.69,355159.22,459100.99,451982.93,448215.87,54%
14,IL,128262.06,186692.68,168902.41,161867.44,190436.43,196632.78,212487.12,234584.43,248000.51,262320.25,33%
15,IN,98993.67,111996.75,116667.71,122489.62,153720.34,164156.78,182679.44,209398.42,226580.73,237109.42,44%
16,IA,91671.01,113621.17,122842.16,133373.27,158349.08,166694.31,178898.17,195925.68,211394.3,218777.85,31%
17,KS,89010.93,110957.66,120483.74,124804.96,148469.1,157311.84,173192.72,194751.01,212580.6,221404.35,41%
